Title,Date
Eat plants and go electric: how to break food TV’s bad climate habits,27/10/2023
Rich countries should stop pushing fossil fuels on Africa – don’t we deserve a renewable future too? | Vanessa Nakate,27/10/2023
Doctors from around the world unite to call for urgent climate action,28/10/2023
Sautéed seaweed and amaranth pancakes: how to cook three climate-friendly superfoods,5/9/2023
UK support for Mozambique gas plant fuelling conflict – Friends of the Earth,15/4/2021
Africa must forgo gas exploration to avert climate disaster warn experts,14/6/2022
UAE ‘running towards’ renewable future says oil boss Cop28 president,14/2/2023
A deal on loss and damage but a blow to 1.5C – what will be Cop27’s legacy?,20/11/2022
‘Africa is on the frontlines but not the front pages’: Vanessa Nakate on her climate fight,17/9/2022
Earth’s ‘vital signs’ worse than at any time in human history scientists warn,24/10/2023
It’s the ‘Swiss army knife of the sea’. But can kelp survive rising marine heat?,12/8/2023
UK to stop funding overseas fossil fuel projects,11/12/2020
Global Witness accuses UK of 'rank hypocrisy' on fossil fuel projects,17/3/2020
‘Gold rush’ for gas production threatens to lock in global heating,8/6/2022
Let Africa exploit its natural gas reserves says Mary Robinson,7/6/2022
‘This is about survival’: will Cop27 bring action on Glasgow climate pact?,14/5/2022
Climate delegates snub Russian address as activists fear geopolitical setbacks,6/6/2022
Egypt says climate finance must be top of agenda at Cop27 talks,25/5/2022
No new oil gas or coal development if world is to reach net zero by 2050 says world energy body,18/5/2021
EU must cut carbon emissions three times faster to meet targets report says,24/10/2023
Ministers ‘misrepresented’ UK climate advisory body say scientists,6/10/2023
UN report urges global end to fossil fuel exploration by 2030,5/10/2023
Slow route to net zero will worsen global climate crisis IPCC chief warns,2/10/2023
Petrostate windfall tax would help poor countries in climate crisis says Brown,25/9/2023
How do we raise trillions of dollars to fight the climate crisis? The answer is staring us in the face | Gordon Brown,25/9/2023
BP must not backtrack on climate action after CEO’s exit say campaigners,14/9/2023
New fossil fuel projects ‘very unwise economic risk’ says global energy chief,14/9/2023
EU states must bridge ‘planning gap’ in order to hit climate targets report warns,13/9/2023
UAE to launch Cop28 presidency with oil boss tipped for leading role,11/1/2023
The Paris agreement five years on: is it strong enough to avert climate catastrophe?,8/12/2020
Goal of limiting global heating to 1.5C ‘more fragile’ than ever says Cop27 chair,29/10/2022
Cop27: another blow to 1.5C?,22/11/2022
UAE oil company employees given roles in office hosting Cop28,3/2/2023
What is the UAE Cop28 plan of climate action?,13/7/2023
UN chief warns ‘we will be doomed’ without historic climate pact,4/11/2022
Cop27 agrees historic ‘loss and damage’ fund for climate impact in developing countries,20/11/2022
UN chief warns of ‘breakdown in trust’ with no deal in sight at Cop27,17/11/2022
‘We can do the impossible’: how key players reacted to end of Cop27 climate summit,20/11/2022
Cop27 talks in disarray with 1.5C goal at risk campaigners warn,19/11/2022
Ratchets phase-downs and a fragile agreement: how Cop26 played out,15/11/2021
EU president says Cop27 deal is ‘small step towards climate justice’ but warns much more to be done – as it happened,20/11/2022
Cop27: EU agrees to loss and damage fund to help poor countries amid climate disasters,18/11/2022
Is China doing enough to combat the climate crisis?,11/11/2022
‘We couldn’t fail them’: how Pakistan’s floods spurred fight at Cop for loss and damage fund,20/11/2022
Giving up on 1.5C climate target would be gift to carbon boosters says IEA head,30/11/2022
