0.07, Canada, 172.67.21.232, https://mothership.sg/
0.07, Singapore, 199.232.44.81, https://www.bbc.com/
0.18, Canada, 13.107.213.59, https://www.guardian.com.sg/
0.08, Canada, 172.67.21.232, https://mothership.sg
0.07, Canada, 104.22.34.123, https://mothership.sg/category/news/
0.14, Canada, 104.22.34.123, https://www.mothership.sg/category/pe2023/
0.1, Canada, 104.22.34.123, https://mothership.sg/category/nova/
0.12, Canada, 172.67.21.232, https://mothership.sg/category/nova/celebrities
0.08, Canada, 172.67.21.232, https://mothership.sg/category/nova/events/
0.06, Canada, 104.22.35.123, https://mothership.sg/category/nova/food/
0.07, Canada, 172.67.21.232, https://mothership.sg/category/nova/travels/
0.09, Canada, 104.22.35.123, https://mothership.sg/videos
0.1, Canada, 104.22.35.123, https://mothership.sg/category/abroad/
0.1, Canada, 104.22.35.123, https://mothership.sg/category/firsthand
0.13, Canada, 172.67.21.232, https://mothership.sg/category/environment
0.06, Canada, 104.22.35.123, https://mothership.sg/category/parliament/
0.57, Canada, 104.22.35.123, https://babelfish.mothership.sg/
0.06, Canada, 172.67.21.232, https://mothership.sg/category/perspectives/
0.06, Canada, 172.67.21.232, https://mothership.sg/category/community/history/
0.07, Canada, 172.67.21.232, https://mothership.sg/tag/covid-19/
0.16, Canada, 172.67.21.232, https://mothership.sg/tag/covid-19
0.08, Canada, 104.22.35.123, https://mothership.sg/category/pe2023/
0.11, Canada, 104.22.34.123, https://mothership.sg/category/nova/celebrities/
0.15, Canada, 172.67.21.232, https://www.mothership.sg/tag/covid-19
0.15, Canada, 172.67.21.232, https://www.mothership.sg/category/pe2023
0.09, Canada, 104.22.35.123, https://mothership.sg/2023/10/jb-fatal-stabbing-details/
0.07, Canada, 104.22.35.123, https://mothership.sg/2023/10/spore-votes-in-favour-un-resolution/
0.06, Canada, 172.67.21.232, https://mothership.sg/2023/10/pm-lee-condolences-li-keqiang/
0.08, Canada, 104.22.35.123, https://mothership.sg/2023/10/peoples-alliance-non-formal-coalition/
0.06, Canada, 104.22.35.123, https://mothership.sg/2023/10/shanmugam-nee-soon-gaza-fundraiser/
0.07, Canada, 172.67.21.232, https://mothership.sg/2023/10/woman-rests-her-feet-on-pole/
0.11, Canada, 172.67.21.232, https://mothership.sg/2023/10/moh-roll-out-updated-covid-vaccines/
0.09, Canada, 104.22.35.123, https://mothership.sg/2023/10/jail-caning-kranji-rapist/
0.07, Canada, 104.22.35.123, https://mothership.sg/2023/10/man-hides-money-around-singapore/
0.15, Canada, 104.22.35.123, https://mothership.sg/about-us
0.11, Canada, 172.67.21.232, https://mothership.sg/about-us#sales
0.1, Canada, 172.67.21.232, https://mothership.sg/about-us#contact-us
2.68, Canada, 172.67.21.232, https://mothership.sg/2023/10/man-loanshark-harassment-sumang/
0.1, Canada, 104.22.35.123, https://mothership.sg/careers
0.09, Singapore, 199.232.44.81, https://www.bbc.co.uk
0.1, Canada, 172.67.21.232, https://mothership.sg/privacy-policy/
0.09, Singapore, 199.232.44.81, https://www.bbc.co.uk/accessibility/
0.35, Singapore, 199.232.44.81, https://www.bbc.co.uk/news
2.68, United Kingdom, 212.58.244.93, https://account.bbc.com/account
2.68, Singapore, 199.232.44.81, https://www.bbc.co.uk/notifications
0.27, Singapore, 199.232.44.81, https://www.bbc.co.uk/weather
0.3, Singapore, 199.232.44.81, https://www.bbc.co.uk/sport
0.4, Singapore, 199.232.44.81, https://www.bbc.co.uk/iplayer
0.08, Singapore, 199.232.44.81, https://www.bbc.co.uk/sounds
0.06, Singapore, 199.232.44.81, https://www.bbc.co.uk/bitesize
0.09, Singapore, 199.232.44.81, https://www.bbc.co.uk/cbeebies
0.05, Singapore, 199.232.44.81, https://www.bbc.co.uk/cbbc
0.05, Singapore, 199.232.44.81, https://www.bbc.co.uk/food
0.06, Singapore, 199.232.44.81, https://www.bbc.com/news
0.09, Singapore, 199.232.44.81, https://www.bbc.com/sport
0.12, Singapore, 199.232.44.81, https://www.bbc.com/worklife
